"","FIPS","City","Year","Population","Primary.Point","Date"
"16927",1925050,"Ellsworth","July 01 2004",530,"POINT (-93.5818424 42.3101461)",2004-07-01
"16928",1906175,"Bertram","July 01 2004",262,"POINT (-91.5376397 41.9511334)",2004-07-01
"16929",1914115,"Cleghorn","July 01 2001",247,"POINT (-95.7126506 42.812537)",2001-07-01
"16930",1907840,"Boyden","July 01 2016",699,"POINT (-96.0030629 43.1889502)",2016-07-01
"16931",1964560,"Prescott","July 01 2016",241,"POINT (-94.6129796 41.0238035)",2016-07-01
"16932",1961050,"Palmer","July 01 2009",170,"POINT (-94.5984729 42.6298621)",2009-07-01
"16933",1930540,"Gibson","April 01 1990",63,"POINT (-92.3920455 41.480236)",1990-04-01
"16934",1950970,"Melrose","July 01 1997",144,"POINT (-93.0508038 40.9790245)",1997-07-01
"16935",1951060,"Melvin","July 01 1996",230,"POINT (-95.608646 43.2864738)",1996-07-01
"16936",1983550,"West Bend","July 01 2001",818,"POINT (-94.4456756 42.9599409)",2001-07-01
"16937",1903610,"Auburn","July 01 1992",305,"POINT (-94.8777258 42.2495688)",1992-07-01
"16938",1985890,"Williamson","July 01 1997",172,"",1997-07-01
"16939",1944535,"Leon","July 01 2006",1861,"POINT (-93.7545236 40.7407471)",2006-07-01
"16940",1945165,"Lime Springs","July 01 2019",474,"POINT (-92.2840819 43.4498475)",2019-07-01
"16941",1959250,"Onslow","July 01 2011",197,"POINT (-91.0152515 42.1073153)",2011-07-01
"16942",1972435,"Shell Rock","July 01 2006",1228,"POINT (-92.5818767 42.7122338)",2006-07-01
"16943",1926310,"Exline","July 01 1995",186,"POINT (-92.8431396 40.649046)",1995-07-01
"16944",1961050,"Palmer","April 01 2010",165,"POINT (-94.5984729 42.6298621)",2010-04-01
"16945",1905050,"Beacon","July 01 2019",487,"POINT (-92.681397 41.2746235)",2019-07-01
"16946",1963525,"Pleasant Hill","July 01 1995",4573,"POINT (-93.487681 41.5725717)",1995-07-01
"16947",1944265,"Lehigh","July 01 1995",503,"POINT (-94.0534845 42.3574683)",1995-07-01
"16948",1974775,"St. Paul","July 01 2011",127,"POINT (-91.4457379 42.0529659)",2011-07-01
"16949",1949260,"Marathon","July 01 2003",293,"POINT (-94.9828656 42.8601931)",2003-07-01
"16950",1939900,"Jolley","July 01 1996",50,"POINT (-94.7182601 42.4794481)",1996-07-01
"16951",1907930,"Braddyville","July 01 2009",162,"POINT (-95.0311862 40.5806312)",2009-07-01
"16952",1943725,"Laurens","July 01 1994",1522,"POINT (-94.8482953 42.8477467)",1994-07-01
"16953",1947775,"McCallsburg","July 01 1995",283,"POINT (-93.3906852 42.1648558)",1995-07-01
"16954",1952455,"Milo","April 01 2010",775,"POINT (-93.4393691 41.2887201)",2010-04-01
"16955",1946425,"Long Grove","July 01 2016",847,"POINT (-90.5802816 41.692241)",2016-07-01
"16956",1906625,"Birmingham","July 01 1998",416,"POINT (-91.9472595 40.8777076)",1998-07-01
"16957",1919720,"Delmar","July 01 1997",518,"POINT (-90.6079678 41.9988013)",1997-07-01
"16958",1976260,"Sumner","July 01 2003",2051,"POINT (-92.0974233 42.8494642)",2003-07-01
"16959",1962625,"Peterson","April 01 1990",390,"POINT (-95.3430601 42.9176513)",1990-04-01
"16960",1969060,"Rowley","July 01 1995",285,"POINT (-91.8444965 42.3684882)",1995-07-01
"16961",1962985,"Pioneer","July 01 2006",20,"POINT (-94.3908921 42.6535255)",2006-07-01
"16962",1903025,"Arnolds Park","July 01 1992",1011,"POINT (-95.1362945 43.3602008)",1992-07-01
"16963",1982425,"Waterloo","July 01 1997",63995,"POINT (-92.3521758 42.4919737)",1997-07-01
"16964",1909820,"Calamus","July 01 2004",394,"POINT (-90.7600146 41.8264945)",2004-07-01
"16965",1957720,"Norway","July 01 2009",603,"POINT (-91.9226667 41.9022211)",2009-07-01
"16966",1922890,"Dunlap","July 01 2011",1027,"POINT (-95.6005625 41.8526254)",2011-07-01
"16967",1949575,"Marne","July 01 1992",148,"POINT (-95.1107615 41.4489055)",1992-07-01
"16968",1983280,"Wellman","July 01 1997",1227,"POINT (-91.8353706 41.469264)",1997-07-01
"16969",1950700,"Mechanicsville","July 01 1998",1084,"POINT (-91.2532455 41.905572)",1998-07-01
"16970",1964560,"Prescott","July 01 2017",239,"POINT (-94.6129796 41.0238035)",2017-07-01
"16971",1925725,"Epworth","July 01 2001",1500,"POINT (-90.9309156 42.4474634)",2001-07-01
"16972",1979680,"Unionville","July 01 2004",127,"POINT (-92.6957756 40.8181841)",2004-07-01
"16973",1964470,"Prairie City","July 01 2007",1420,"POINT (-93.2391586 41.5952729)",2007-07-01
"16974",1950160,"Mason City","July 01 2009",27267,"POINT (-93.1998074 43.1487201)",2009-07-01
"16975",1945480,"Linn Grove","July 01 2016",153,"POINT (-95.242346 42.8928146)",2016-07-01
"16976",1955200,"Mystic","July 01 1995",541,"POINT (-92.9446124 40.7791816)",1995-07-01
"16977",1902125,"Andrew","July 01 2002",453,"POINT (-90.5919309 42.153216)",2002-07-01
"16978",1950520,"Maxwell","July 01 2015",925,"POINT (-93.3959877 41.8913844)",2015-07-01
"16979",1936705,"Holland","July 01 2004",261,"POINT (-92.7988148 42.3999555)",2004-07-01
"16980",1945615,"Lisbon","July 01 2002",1952,"POINT (-91.3916619 41.9205324)",2002-07-01
"16981",1932520,"Gravity","July 01 2003",213,"POINT (-94.7435014 40.7601646)",2003-07-01
"16982",1984765,"West Union","July 01 1993",2569,"POINT (-91.8132 42.9588918)",1993-07-01
"16983",1980490,"Van Wert","July 01 1994",251,"POINT (-93.7918044 40.8710641)",1994-07-01
"16984",1986250,"Windsor Heights","July 01 2009",4627,"POINT (-93.7128163 41.6041919)",2009-07-01
"16985",1956100,"New Hampton","July 01 1992",3832,"POINT (-92.3163583 43.0571675)",1992-07-01
