"","FIPS","City","Year","Population","Primary.Point","Date"
"1",1985890,"Williamson","July 01 1994",168,"",1994-07-01
"2",1958060,"Oakland","July 01 2009",1381,"",2009-07-01
"3",1959645,"Orleans","July 01 2011",613,"",2011-07-01
"4",1959645,"Orleans","July 01 2012",613,"",2012-07-01
"5",1958060,"Oakland","July 01 2014",1508,"",2014-07-01
"6",1959645,"Orleans","July 01 2016",606,"",2016-07-01
"7",1959645,"Orleans","July 01 2017",594,"",2017-07-01
"8",1959645,"Orleans","July 01 1996",561,"",1996-07-01
"9",1959645,"Orleans","July 01 2019",587,"",2019-07-01
"10",1944535,"Leon","July 01 2008",1828,"POINT (-93.7545236 40.7407471)",2008-07-01
"11",1919630,"Delaware","July 01 1996",194,"POINT (-91.339042 42.4712845)",1996-07-01
"12",1979410,"Udell","July 01 1992",79,"POINT (-92.7426983 40.7801811)",1992-07-01
"13",1912270,"Center Point","July 01 2017",2553,"POINT (-91.7794373 42.1843009)",2017-07-01
"14",1904915,"Baxter","July 01 1994",952,"POINT (-93.1524552 41.8252003)",1994-07-01
"15",1942465,"Lake City","July 01 2009",1579,"POINT (-94.7310464 42.2676372)",2009-07-01
"16",1902260,"Anita","July 01 2012",954,"POINT (-94.7658827 41.4437451)",2012-07-01
"17",1941070,"Keswick","July 01 2014",240,"POINT (-92.2382166 41.4546646)",2014-07-01
"18",1964650,"Primghar","July 01 2003",851,"POINT (-95.6209034 43.0863786)",2003-07-01
"19",1982695,"Waukee","July 01 2019",24089,"POINT (-93.8702236 41.6001509)",2019-07-01
"20",1986385,"Winfield","April 01 2010",1134,"POINT (-91.4380958 41.125855)",2010-04-01
"21",1980400,"Van Horne","July 01 2009",728,"POINT (-92.0894145 42.009549)",2009-07-01
"22",1964065,"Pomeroy","July 01 2006",635,"POINT (-94.6778218 42.5519497)",2006-07-01
"23",1907075,"Blue Grass","July 01 1997",1229,"POINT (-90.7648763 41.5095767)",1997-07-01
"24",1900730,"Ainsworth","April 01 1990",506,"POINT (-91.5545142 41.2900827)",1990-04-01
"25",1912000,"Cedar Rapids","July 01 2007",126132,"POINT (-91.6781641 41.966733)",2007-07-01
"26",1952860,"Missouri Valley","July 01 2017",2633,"POINT (-95.9027827 41.5573821)",2017-07-01
"27",1962355,"Perry","July 01 2003",8281,"POINT (-94.09406 41.8379964)",2003-07-01
"28",1976935,"Tabor","July 01 2014",994,"POINT (-95.6737118 40.8949387)",2014-07-01
"29",1937290,"Hospers","July 01 2017",705,"POINT (-95.903694 43.0725353)",2017-07-01
"30",1907210,"Bode","July 01 2015",290,"POINT (-94.2862417 42.868027)",2015-07-01
"31",1959070,"Ollie","July 01 2005",166,"POINT (-92.0923057 41.1991478)",2005-07-01
"32",1949755,"Marshalltown","July 01 1994",25391,"POINT (-92.9066945 42.0341021)",1994-07-01
"33",1953625,"Monticello","July 01 1999",3835,"POINT (-91.1836421 42.2303515)",1999-07-01
"34",1968070,"Rockford","July 01 1994",872,"POINT (-92.9477776 43.0524158)",1994-07-01
"35",1952275,"Millerton","April 01 1990",44,"POINT (-93.3057058 40.8493458)",1990-04-01
"36",1922890,"Dunlap","April 01 2010",1042,"POINT (-95.6005625 41.8526254)",2010-04-01
"37",1927255,"Ferguson","July 01 2011",127,"POINT (-92.8630313 41.9385801)",2011-07-01
"38",1948045,"McIntire","July 01 2002",166,"POINT (-92.5936847 43.4359606)",2002-07-01
"39",1903385,"Atalissa","April 01 2000",283,"POINT (-91.1664541 41.5716874)",2000-04-01
"40",1922215,"Dow City","July 01 2003",505,"POINT (-95.4943457 41.9279982)",2003-07-01
"41",1930675,"Gilbertville","July 01 2016",747,"POINT (-92.2141932 42.4189896)",2016-07-01
"42",1932520,"Gravity","July 01 2001",216,"POINT (-94.7435014 40.7601646)",2001-07-01
"43",1971040,"Scarville","July 01 2012",71,"POINT (-93.6165718 43.4709669)",2012-07-01
"44",1975405,"Stockport","July 01 2008",282,"POINT (-91.8333604 40.8572858)",2008-07-01
"45",1919765,"Deloit","April 01 1990",296,"POINT (-95.3174643 42.0971421)",1990-04-01
"46",1974280,"Spencer","July 01 1997",11317,"POINT (-95.1533205 43.1468576)",1997-07-01
"47",1946290,"Lone Rock","July 01 2016",141,"POINT (-94.3254999 43.2208068)",2016-07-01
"48",1928605,"Fort Madison","July 01 1998",11659,"POINT (-91.3519128 40.6198735)",1998-07-01
"49",1939630,"Jewell Junction","July 01 2009",1138,"POINT (-93.6402159 42.3069254)",2009-07-01
"50",1978600,"Toronto","July 01 1993",136,"POINT (-90.8627574 41.9028894)",1993-07-01
"51",1950160,"Mason City","July 01 1992",29312,"POINT (-93.1998074 43.1487201)",1992-07-01
"52",1928380,"Forest City","July 01 2011",4049,"POINT (-93.6364115 43.2569692)",2011-07-01
"53",1911530,"Castana","July 01 1997",157,"POINT (-95.9103984 42.0730934)",1997-07-01
"54",1983595,"West Branch","July 01 2016",2370,"POINT (-91.3406612 41.6627654)",2016-07-01
"55",1961815,"Paton","July 01 2015",229,"POINT (-94.2550567 42.1642219)",2015-07-01
"56",1914880,"Coburg","July 01 1994",72,"POINT (-95.2655524 40.9187888)",1994-07-01
"57",1957945,"Numa","July 01 2002",109,"POINT (-92.9799877 40.6854066)",2002-07-01
"58",1972975,"Sibley","July 01 2012",2687,"POINT (-95.7437957 43.401265)",2012-07-01
"59",1950655,"Maysville","April 01 1990",170,"POINT (-90.718486 41.6495455)",1990-04-01
"60",1952500,"Milton","July 01 1993",523,"POINT (-92.1621496 40.671185)",1993-07-01
"61",1930045,"Garwin","July 01 2018",496,"POINT (-92.6790893 42.0934589)",2018-07-01
"62",1908470,"Brighton","July 01 1993",692,"POINT (-91.8212009 41.1746979)",1993-07-01
"63",1903835,"Aurora","July 01 2007",183,"POINT (-91.7294524 42.6201079)",2007-07-01
"64",1926310,"Exline","July 01 1997",184,"POINT (-92.8431396 40.649046)",1997-07-01
"65",1967170,"Ringsted","July 01 1995",471,"POINT (-94.5067295 43.2949389)",1995-07-01
"66",1967350,"Riverdale","July 01 2005",606,"POINT (-90.4637332 41.5370578)",2005-07-01
"67",1950160,"Mason City","July 01 2007",27438,"POINT (-93.1998074 43.1487201)",2007-07-01
"68",1939135,"Jackson Junction","April 01 2010",58,"POINT (-92.0462156 43.1013241)",2010-04-01
"69",1950385,"Matlock","July 01 2015",90,"POINT (-95.9345034 43.2443282)",2015-07-01
"70",1904105,"Ayrshire","July 01 2002",193,"POINT (-94.8335229 43.0395515)",2002-07-01
"71",1984090,"Westfield","July 01 1998",174,"POINT (-96.6055187 42.7561653)",1998-07-01
"72",1924645,"Elgin","July 01 1999",663,"POINT (-91.6355924 42.9553694)",1999-07-01
"73",1982065,"Walnut","July 01 2012",780,"POINT (-95.2204992 41.4884727)",2012-07-01
"74",1933465,"Guttenberg","July 01 2007",1915,"POINT (-91.1059046 42.7887133)",2007-07-01
"75",1958530,"Ocheyedan","July 01 2003",515,"POINT (-95.5365264 43.4181152)",2003-07-01
"76",1916230,"Coralville","July 01 2015",20233,"POINT (-91.5968051 41.6989902)",2015-07-01
"77",1924600,"Eldridge","July 01 2016",6278,"POINT (-90.5805427 41.6393994)",2016-07-01
"78",1956100,"New Hampton","July 01 1994",3898,"POINT (-92.3163583 43.0571675)",1994-07-01
"79",1972075,"Sharpsburg","July 01 2017",86,"POINT (-94.640482 40.802969)",2017-07-01
"80",1935265,"Hawarden","July 01 2003",2398,"POINT (-96.4831539 43.0018665)",2003-07-01
"81",1907210,"Bode","July 01 2019",290,"POINT (-94.2862417 42.868027)",2019-07-01
"82",1936390,"Hillsboro","July 01 1996",168,"POINT (-91.7125258 40.8373813)",1996-07-01
"83",1912900,"Charter Oak","July 01 2002",517,"POINT (-95.5891719 42.0682534)",2002-07-01
"84",1939765,"Johnston","July 01 1991",5163,"POINT (-93.7172578 41.6856012)",1991-07-01
"85",1956505,"Newton","July 01 2006",15178,"POINT (-93.0404672 41.6965281)",2006-07-01
"86",1933285,"Guernsey","July 01 2011",63,"POINT (-92.3430868 41.6491514)",2011-07-01
"87",1914025,"Clear Lake","July 01 1993",8680,"POINT (-93.3739922 43.1346536)",1993-07-01
"88",1914655,"Clutier","July 01 2017",206,"POINT (-92.4036082 42.0793295)",2017-07-01
"89",1979500,"Underwood","July 01 1991",521,"POINT (-95.6820111 41.3807698)",1991-07-01
"90",1979140,"Truro","July 01 2017",499,"POINT (-93.8466721 41.2097694)",2017-07-01
"91",1919135,"Dawson","July 01 2015",128,"POINT (-94.2203279 41.8430917)",2015-07-01
"92",1964470,"Prairie City","July 01 2017",1723,"POINT (-93.2391586 41.5952729)",2017-07-01
"93",1960690,"Oxford Junction","July 01 2005",552,"POINT (-90.954121 41.9837298)",2005-07-01
"94",1913395,"Cincinnati","July 01 1998",352,"POINT (-92.9222293 40.6309489)",1998-07-01
"95",1959475,"Orange City","April 01 2010",6004,"POINT (-96.0565364 43.0019143)",2010-04-01
"96",1985845,"Williamsburg","July 01 2001",2695,"POINT (-92.0098017 41.6679743)",2001-07-01
"97",1904915,"Baxter","July 01 2019",1132,"POINT (-93.1524552 41.8252003)",2019-07-01
"98",1950700,"Mechanicsville","July 01 2018",1130,"POINT (-91.2532455 41.905572)",2018-07-01
"99",1939900,"Jolley","July 01 1998",50,"POINT (-94.7182601 42.4794481)",1998-07-01
"100",1922845,"Dunkerton","July 01 1997",718,"POINT (-92.161378 42.5673881)",1997-07-01
"101",1944805,"Lewis","July 01 2012",423,"POINT (-95.0842834 41.3064931)",2012-07-01
"102",1900235,"Ackworth","July 01 2011",104,"POINT (-93.4747827 41.3663016)",2011-07-01
"103",1982695,"Waukee","July 01 1999",5076,"POINT (-93.8702236 41.6001509)",1999-07-01
"104",1952590,"Minden","July 01 2009",542,"POINT (-95.5411773 41.4683761)",2009-07-01
"105",1986970,"Woodward","July 01 1994",1219,"POINT (-93.9208014 41.8522961)",1994-07-01
"106",1906490,"Bevington","April 01 1990",67,"POINT (-93.7902373 41.3595466)",1990-04-01
"107",1968070,"Rockford","July 01 1996",861,"POINT (-92.9477776 43.0524158)",1996-07-01
"108",1910135,"Camanche","July 01 2017",4291,"POINT (-90.2766777 41.7927587)",2017-07-01
"109",1965010,"Protivin","July 01 2014",277,"POINT (-92.0891446 43.2164283)",2014-07-01
"110",1962985,"Pioneer","July 01 2008",19,"POINT (-94.3908921 42.6535255)",2008-07-01
"111",1981210,"Vinton","April 01 2000",5102,"POINT (-92.0260813 42.1638951)",2000-04-01
"112",1963840,"Plover","July 01 2009",63,"POINT (-94.6222266 42.876712)",2009-07-01
"113",1955110,"Muscatine","July 01 2002",22511,"POINT (-91.0680884 41.4194742)",2002-07-01
"114",1944490,"Lenox","July 01 2015",1392,"POINT (-94.5583357 40.8830419)",2015-07-01
"115",1978330,"Titonka","July 01 2019",443,"POINT (-94.0413989 43.2371658)",2019-07-01
"116",1982425,"Waterloo","July 01 1999",62800,"POINT (-92.3521758 42.4919737)",1999-07-01
"117",1915420,"Columbus Junction","July 01 2016",1866,"POINT (-91.3650803 41.2787342)",2016-07-01
"118",1978060,"Tiffin","April 01 2000",975,"POINT (-91.658392 41.7067521)",2000-04-01
"119",1943140,"Lanesboro","July 01 1999",145,"POINT (-94.6921692 42.1826597)",1999-07-01
"120",1974505,"Springbrook","July 01 2002",180,"POINT (-90.479117 42.1655919)",2002-07-01
"121",1971310,"Scranton","July 01 1993",596,"POINT (-94.5490547 42.0190882)",1993-07-01
"122",1975990,"Stuart","April 01 2000",1712,"POINT (-94.3186774 41.5002688)",2000-04-01
"123",1933240,"Gruver","July 01 2005",98,"POINT (-94.703558 43.3931285)",2005-07-01
"124",1928290,"Fontanelle","July 01 2016",609,"POINT (-94.5600489 41.2900061)",2016-07-01
"125",1942285,"Lacona","July 01 1992",354,"POINT (-93.3849697 41.1899087)",1992-07-01
"126",1953895,"Moorland","July 01 2016",161,"POINT (-94.2954106 42.4413943)",2016-07-01
"127",1956100,"New Hampton","July 01 2011",3562,"POINT (-92.3163583 43.0571675)",2011-07-01
"128",1937425,"Hubbard","July 01 1997",784,"POINT (-93.3013025 42.3061102)",1997-07-01
"129",1939765,"Johnston","July 01 2018",22041,"POINT (-93.7172578 41.6856012)",2018-07-01
"130",1940440,"Kellogg","July 01 2017",592,"POINT (-92.9070787 41.7180274)",2017-07-01
"131",1916725,"Cotter","April 01 1990",53,"POINT (-91.4658078 41.2939949)",1990-04-01
"132",1974505,"Springbrook","July 01 2004",183,"POINT (-90.479117 42.1655919)",2004-07-01
"133",1950070,"Marysville","July 01 1997",71,"POINT (-92.953643 41.1826504)",1997-07-01
"134",1950250,"Massena","July 01 2017",341,"POINT (-94.7698202 41.2506437)",2017-07-01
"135",1917895,"Curlew","July 01 2007",58,"POINT (-94.7377341 42.9795272)",2007-07-01
"136",1911755,"Cedar Falls","July 01 1992",34045,"POINT (-92.4532603 42.5196928)",1992-07-01
"137",1950385,"Matlock","July 01 2004",83,"POINT (-95.9345034 43.2443282)",2004-07-01
"138",1909280,"Buffalo Center","April 01 2000",963,"POINT (-93.9428112 43.3893894)",2000-04-01
"139",1935760,"Hepburn","July 01 2008",27,"POINT (-95.0166861 40.8476568)",2008-07-01
"140",1915105,"College Springs","July 01 1991",227,"POINT (-95.1211184 40.6212901)",1991-07-01
"141",1987240,"Wyoming","July 01 2017",517,"POINT (-91.0051028 42.0597168)",2017-07-01
"142",1975000,"Stanton","April 01 2000",714,"POINT (-95.1029513 40.9810147)",2000-04-01
"143",1950520,"Maxwell","July 01 2014",921,"POINT (-93.3959877 41.8913844)",2014-07-01
"144",1943005,"Lamont","July 01 2001",501,"POINT (-91.6404271 42.5985649)",2001-07-01
"145",1911395,"Casey","July 01 2016",401,"POINT (-94.5212707 41.5074602)",2016-07-01
"146",1966315,"Reinbeck","July 01 2007",1649,"POINT (-92.5942704 42.3225055)",2007-07-01
"147",1919135,"Dawson","July 01 1995",172,"POINT (-94.2203279 41.8430917)",1995-07-01
"148",1963525,"Pleasant Hill","July 01 1993",4285,"POINT (-93.487681 41.5725717)",1993-07-01
"149",1950385,"Matlock","April 01 1990",92,"POINT (-95.9345034 43.2443282)",1990-04-01
"150",1936705,"Holland","July 01 2006",259,"POINT (-92.7988148 42.3999555)",2006-07-01
"151",1928020,"Floyd","July 01 2015",324,"POINT (-92.7402544 43.1282005)",2015-07-01
"152",1984765,"West Union","July 01 1991",2555,"POINT (-91.8132 42.9588918)",1991-07-01
"153",1928020,"Floyd","April 01 2010",335,"POINT (-92.7402544 43.1282005)",2010-04-01
"154",1917895,"Curlew","July 01 2015",57,"POINT (-94.7377341 42.9795272)",2015-07-01
"155",1937290,"Hospers","July 01 1995",694,"POINT (-95.903694 43.0725353)",1995-07-01
"156",1932745,"Greene","July 01 2016",1092,"POINT (-92.8043393 42.8969089)",2016-07-01
"157",1912765,"Charles City","July 01 1998",7641,"POINT (-92.6745202 43.0643521)",1998-07-01
"158",1949575,"Marne","July 01 2007",142,"POINT (-95.1107615 41.4489055)",2007-07-01
"159",1968340,"Rodman","July 01 1992",55,"POINT (-94.5271834 43.0265898)",1992-07-01
"160",1934590,"Harpers Ferry","July 01 2017",323,"POINT (-91.1520093 43.2009123)",2017-07-01
"161",1945795,"Little Rock","July 01 2012",459,"POINT (-95.880437 43.4454349)",2012-07-01
"162",1909820,"Calamus","July 01 2002",392,"POINT (-90.7600146 41.8264945)",2002-07-01
"163",1955965,"Newell","July 01 2001",872,"POINT (-95.0039777 42.609682)",2001-07-01
"164",1952050,"Miles","July 01 2017",441,"POINT (-90.3150838 42.048783)",2017-07-01
"165",1949575,"Marne","July 01 1994",150,"POINT (-95.1107615 41.4489055)",1994-07-01
"166",1958890,"Olds","July 01 1992",194,"POINT (-91.544229 41.1341655)",1992-07-01
"167",1904825,"Batavia","April 01 1990",520,"POINT (-92.1673927 40.9951023)",1990-04-01
"168",1909550,"Burlington","July 01 2016",25120,"POINT (-91.1248966 40.8071958)",2016-07-01
"169",1966045,"Redfield","April 01 2010",835,"POINT (-94.1961117 41.5906044)",2010-04-01
"170",1942465,"Lake City","July 01 2004",1686,"POINT (-94.7310464 42.2676372)",2004-07-01
"171",1973650,"Smithland","July 01 2011",225,"POINT (-95.9311714 42.2289603)",2011-07-01
"172",1966585,"Riceville","July 01 2017",763,"POINT (-92.5541081 43.362157)",2017-07-01
"173",1975135,"State Center","July 01 1993",1282,"POINT (-93.1652582 42.0148885)",1993-07-01
"174",1945390,"Linden","July 01 2016",203,"POINT (-94.2699847 41.6427085)",2016-07-01
"175",1948990,"Manson","July 01 2015",1612,"POINT (-94.5401543 42.5283851)",2015-07-01
"176",1936480,"Hinton","July 01 1996",769,"POINT (-96.2974754 42.6212975)",1996-07-01
"177",1986970,"Woodward","July 01 2005",1332,"POINT (-93.9208014 41.8522961)",2005-07-01
"178",1931350,"Glenwood","July 01 2017",5316,"POINT (-95.7407754 41.0445208)",2017-07-01
"179",1976620,"Swaledale","July 01 2006",169,"POINT (-93.3154698 42.9765243)",2006-07-01
"180",1983685,"West Burlington","July 01 2004",3252,"POINT (-91.1763695 40.8218381)",2004-07-01
"181",1913080,"Cherokee","July 01 2017",4907,"POINT (-95.5525761 42.7508555)",2017-07-01
"182",1947775,"McCallsburg","July 01 1993",291,"POINT (-93.3906852 42.1648558)",1993-07-01
"183",1907480,"Boone","July 01 2009",12479,"POINT (-93.8773237 42.0530404)",2009-07-01
"184",1959070,"Ollie","July 01 1994",213,"POINT (-92.0923057 41.1991478)",1994-07-01
"185",1938415,"Inwood","April 01 2010",814,"POINT (-96.4350789 43.3092965)",2010-04-01
"186",1939225,"Jamaica","July 01 2003",235,"POINT (-94.3069709 41.8452279)",2003-07-01
"187",1961365,"Panorama Park","July 01 2002",131,"POINT (-90.4536976 41.5556125)",2002-07-01
"188",1987375,"Yetter","July 01 1991",49,"POINT (-94.8431642 42.3161325)",1991-07-01
"189",1951060,"Melvin","July 01 1998",226,"POINT (-95.608646 43.2864738)",1998-07-01
"190",1982065,"Walnut","July 01 2009",721,"POINT (-95.2204992 41.4884727)",2009-07-01
"191",1921900,"Doon","July 01 2014",602,"POINT (-96.2317488 43.2787854)",2014-07-01
"192",1964560,"Prescott","April 01 1990",287,"POINT (-94.6129796 41.0238035)",1990-04-01
"193",1954840,"Mount Vernon","July 01 2015",4458,"POINT (-91.4243495 41.9229756)",2015-07-01
"194",1953850,"Moorhead","April 01 2010",226,"POINT (-95.850715 41.9243406)",2010-04-01
"195",1908605,"Britt","July 01 2011",2065,"POINT (-93.8031592 43.0974978)",2011-07-01
"196",1965730,"Rathbun","July 01 2001",87,"POINT (-92.8871405 40.8016943)",2001-07-01
"197",1924465,"Eldora","July 01 1997",2958,"POINT (-93.1012867 42.3605951)",1997-07-01
"198",1945660,"Liscomb","July 01 2006",266,"POINT (-93.0061716 42.1910286)",2006-07-01
"199",1978600,"Toronto","July 01 2001",133,"POINT (-90.8627574 41.9028894)",2001-07-01
"200",1969465,"Ryan","July 01 2006",372,"POINT (-91.4851389 42.3524086)",2006-07-01
"201",1938640,"Iowa Falls","July 01 1995",5392,"POINT (-93.2661847 42.5190554)",1995-07-01
"202",1956550,"New Vienna","July 01 1992",382,"POINT (-91.1138852 42.5477204)",1992-07-01
"203",1943275,"Lansing","July 01 2017",939,"POINT (-91.2258567 43.3606897)",2017-07-01
"204",1908425,"Bridgewater","July 01 1995",168,"POINT (-94.6689384 41.2470992)",1995-07-01
"205",1954435,"Mount Auburn","July 01 1991",142,"POINT (-92.094317 42.2574343)",1991-07-01
"206",1934455,"Hardy","July 01 2007",89,"POINT (-94.0511447 42.8101495)",2007-07-01
"207",1913080,"Cherokee","April 01 1990",6026,"POINT (-95.5525761 42.7508555)",1990-04-01
"208",1961815,"Paton","July 01 2013",233,"POINT (-94.2550567 42.1642219)",2013-07-01
"209",1934545,"Harper","July 01 2007",114,"POINT (-92.0509513 41.3636709)",2007-07-01
"210",1933105,"Grinnell","July 01 2019",9116,"POINT (-92.7244148 41.7372767)",2019-07-01
"211",1966855,"Ricketts","July 01 1997",116,"POINT (-95.5749041 42.1280902)",1997-07-01
"212",1973650,"Smithland","July 01 2014",225,"POINT (-95.9311714 42.2289603)",2014-07-01
"213",1934680,"Hartford","April 01 2000",759,"POINT (-93.4052141 41.4577051)",2000-04-01
"214",1977340,"Templeton","July 01 1991",318,"POINT (-94.9415676 41.9181145)",1991-07-01
"215",1934725,"Hartley","July 01 2011",1655,"POINT (-95.4767498 43.1790472)",2011-07-01
"216",1974775,"St. Donatus","July 01 2016",130,"POINT (-91.4457379 42.0529659)",2016-07-01
"217",1974775,"St. Anthony","July 01 2002",109,"POINT (-91.4457379 42.0529659)",2002-07-01
"218",1923970,"Eddyville","July 01 2004",1065,"POINT (-92.6297911 41.1592059)",2004-07-01
"219",1931575,"Goodell","July 01 2012",138,"POINT (-93.614062 42.9237297)",2012-07-01
"220",1949620,"Marquette","July 01 2011",442,"POINT (-91.1905647 43.0446015)",2011-07-01
"221",1902845,"Arlington","July 01 1994",481,"POINT (-91.6710476 42.7487868)",1994-07-01
"222",1934005,"Hancock","July 01 2016",196,"POINT (-95.3636607 41.3921947)",2016-07-01
"223",1947505,"Luzerne","July 01 1991",94,"POINT (-92.1802573 41.9057019)",1991-07-01
"224",1985710,"Willey","July 01 1996",76,"POINT (-94.8223651 41.9787458)",1996-07-01
"225",1905140,"Beaman","July 01 2003",195,"POINT (-92.822187 42.2202167)",2003-07-01
"226",1925500,"Emerson","July 01 1995",469,"POINT (-95.4027422 41.018044)",1995-07-01
"227",1912270,"Center Point","April 01 1990",1693,"POINT (-91.7794373 42.1843009)",1990-04-01
"228",1929550,"Galt","July 01 2002",29,"POINT (-93.6051275 42.692983)",2002-07-01
"229",1945390,"Linden","July 01 1994",218,"POINT (-94.2699847 41.6427085)",1994-07-01
"230",1917670,"Crystal Lake","July 01 2012",245,"POINT (-93.792707 43.2229779)",2012-07-01
"231",1901090,"Alexander","July 01 1991",170,"POINT (-93.4786472 42.8044201)",1991-07-01
"232",1943005,"Lamont","July 01 2016",458,"POINT (-91.6404271 42.5985649)",2016-07-01
"233",1930675,"Gilbertville","July 01 2009",742,"POINT (-92.2141932 42.4189896)",2009-07-01
"234",1961365,"Panorama Park","April 01 1990",127,"POINT (-90.4536976 41.5556125)",1990-04-01
"235",1934455,"Hardy","July 01 2013",46,"POINT (-94.0511447 42.8101495)",2013-07-01
"236",1929595,"Galva","July 01 2002",351,"POINT (-95.4177423 42.5059144)",2002-07-01
"237",1958620,"Oelwein","July 01 1994",6918,"POINT (-91.9131952 42.6713674)",1994-07-01
"238",1974775,"St. Anthony","April 01 2000",109,"POINT (-91.4457379 42.0529659)",2000-04-01
"239",1930675,"Gilbertville","July 01 2015",751,"POINT (-92.2141932 42.4189896)",2015-07-01
"240",1923970,"Eddyville","July 01 2002",1066,"POINT (-92.6297911 41.1592059)",2002-07-01
"241",1926895,"Farmington","April 01 1990",655,"POINT (-91.7390137 40.6388538)",1990-04-01
"242",1928515,"Fort Dodge","July 01 2009",25083,"POINT (-94.175105 42.5097987)",2009-07-01
"243",1941520,"Kirkman","April 01 2000",76,"POINT (-95.2672884 41.7280558)",2000-04-01
"244",1916230,"Coralville","July 01 1996",12638,"POINT (-91.5968051 41.6989902)",1996-07-01
"245",1910090,"Calumet","July 01 1999",150,"POINT (-95.5515151 42.9449608)",1999-07-01
"246",1906085,"Bernard","April 01 2000",97,"POINT (-90.8317558 42.3132971)",2000-04-01
"247",1907075,"Blue Grass","July 01 2006",1313,"POINT (-90.7648763 41.5095767)",2006-07-01
"248",1982065,"Walnut","July 01 2018",774,"POINT (-95.2204992 41.4884727)",2018-07-01
"249",1917670,"Crystal Lake","July 01 2004",271,"POINT (-93.792707 43.2229779)",2004-07-01
"250",1909820,"Calamus","July 01 1991",379,"POINT (-90.7600146 41.8264945)",1991-07-01
"251",1921270,"Diagonal","July 01 1994",300,"POINT (-94.3421119 40.8104671)",1994-07-01
"252",1921360,"Dickens","July 01 1993",215,"POINT (-95.0223206 43.1339372)",1993-07-01
"253",1972525,"Shenandoah","July 01 1999",5515,"POINT (-95.3720582 40.7583016)",1999-07-01
"254",1943275,"Lansing","July 01 1998",1015,"POINT (-91.2258567 43.3606897)",1998-07-01
"255",1928920,"Fraser","July 01 1996",119,"POINT (-93.9734887 42.1250435)",1996-07-01
"256",1938820,"Ireton","July 01 1998",629,"POINT (-96.3217494 42.974898)",1998-07-01
"257",1968520,"Rolfe","July 01 2001",661,"POINT (-94.5313396 42.8129005)",2001-07-01
"258",1942330,"Ladora","July 01 1999",331,"POINT (-92.1859015 41.755506)",1999-07-01
"259",1940440,"Kellogg","July 01 2009",593,"POINT (-92.9070787 41.7180274)",2009-07-01
"260",1940260,"Kanawha","July 01 2013",632,"POINT (-93.7932443 42.9341778)",2013-07-01
"261",1902350,"Anthon","July 01 2003",638,"POINT (-95.8656328 42.3881341)",2003-07-01
"262",1973290,"Sioux Center","July 01 2001",6227,"POINT (-96.1707089 43.0746484)",2001-07-01
"263",1953490,"Montezuma","July 01 2001",1449,"POINT (-92.5273821 41.5833762)",2001-07-01
"264",1943050,"La Motte","July 01 2017",257,"POINT (-90.6234291 42.2957342)",2017-07-01
"265",1931800,"Graettinger","July 01 1994",795,"POINT (-94.7504243 43.2370707)",1994-07-01
"266",1901270,"Allerton","July 01 2006",543,"POINT (-93.3689153 40.7076938)",2006-07-01
"267",1973065,"Sidney","July 01 2018",1044,"POINT (-95.6442994 40.7459494)",2018-07-01
"268",1945840,"Little Sioux","July 01 2002",211,"POINT (-96.0274587 41.8082038)",2002-07-01
"269",1906040,"Berkley","July 01 1999",37,"POINT (-94.113648 41.9464164)",1999-07-01
"270",1937605,"Humeston","July 01 1994",568,"POINT (-93.4972195 40.8609187)",1994-07-01
"271",1953895,"Moorland","July 01 1992",274,"POINT (-94.2954106 42.4413943)",1992-07-01
"272",1942465,"Lake City","July 01 1995",1848,"POINT (-94.7310464 42.2676372)",1995-07-01
"273",1960420,"Ottosen","July 01 2006",47,"POINT (-94.3755469 42.8980883)",2006-07-01
"274",1934545,"Harper","April 01 2010",114,"POINT (-92.0509513 41.3636709)",2010-04-01
"275",1903115,"Arthur","July 01 2003",230,"POINT (-95.3469405 42.3353614)",2003-07-01
"276",1956325,"New London","July 01 2005",1844,"POINT (-91.4011156 40.9231717)",2005-07-01
"277",1911395,"Casey","July 01 2004",417,"POINT (-94.5212707 41.5074602)",2004-07-01
"278",1921720,"Donahue","July 01 1998",341,"POINT (-90.6746301 41.6915346)",1998-07-01
"279",1909730,"Bussey","July 01 2001",450,"POINT (-92.8842719 41.2057508)",2001-07-01
"280",1976260,"Sumner","July 01 2008",1981,"POINT (-92.0974233 42.8494642)",2008-07-01
"281",1900955,"Albion","July 01 1998",561,"POINT (-92.9887407 42.1125257)",1998-07-01
"282",1921675,"Dolliver","July 01 1993",102,"POINT (-94.6143179 43.4638362)",1993-07-01
"283",1983415,"Wesley","July 01 1992",450,"POINT (-93.9936857 43.0886724)",1992-07-01
"284",1928425,"Fort Atkinson","July 01 1991",367,"POINT (-91.9347752 43.144115)",1991-07-01
"285",1935760,"Hepburn","July 01 2017",17,"POINT (-95.0166861 40.8476568)",2017-07-01
"286",1919180,"Dayton","April 01 1990",818,"POINT (-94.0711394 42.262259)",1990-04-01
"287",1945255,"Lincoln","July 01 1995",189,"POINT (-92.6913872 42.2634642)",1995-07-01
"288",1980130,"Vail","July 01 2014",431,"POINT (-95.2003198 42.0598224)",2014-07-01
"289",1922620,"Dumont","July 01 2017",612,"POINT (-92.9735076 42.7521928)",2017-07-01
"290",1929055,"Fredonia","July 01 2005",223,"POINT (-91.3393851 41.284514)",2005-07-01
