FIPS,City,Year,Population,Primary Point
1985890,Williamson,July 01 1994,168,
1958060,Oakland,July 01 2009,1381,
1959645,Orleans,July 01 2011,613,
1959645,Orleans,July 01 2012,613,
1958060,Oakland,July 01 2014,1508,
1959645,Orleans,July 01 2016,606,
1959645,Orleans,July 01 2017,594,
1959645,Orleans,July 01 1996,561,
1959645,Orleans,July 01 2019,587,
1944535,Leon,July 01 2008,1828,POINT (-93.7545236 40.7407471)
1919630,Delaware,July 01 1996,194,POINT (-91.339042 42.4712845)
1979410,Udell,July 01 1992,79,POINT (-92.7426983 40.7801811)
1912270,Center Point,July 01 2017,2553,POINT (-91.7794373 42.1843009)
1904915,Baxter,July 01 1994,952,POINT (-93.1524552 41.8252003)
1942465,Lake City,July 01 2009,1579,POINT (-94.7310464 42.2676372)
1902260,Anita,July 01 2012,954,POINT (-94.7658827 41.4437451)
1941070,Keswick,July 01 2014,240,POINT (-92.2382166 41.4546646)
1964650,Primghar,July 01 2003,851,POINT (-95.6209034 43.0863786)
1982695,Waukee,July 01 2019,24089,POINT (-93.8702236 41.6001509)
1986385,Winfield,April 01 2010,1134,POINT (-91.4380958 41.125855)
1980400,Van Horne,July 01 2009,728,POINT (-92.0894145 42.009549)
1964065,Pomeroy,July 01 2006,635,POINT (-94.6778218 42.5519497)
1907075,Blue Grass,July 01 1997,1229,POINT (-90.7648763 41.5095767)
1900730,Ainsworth,April 01 1990,506,POINT (-91.5545142 41.2900827)
1912000,Cedar Rapids,July 01 2007,126132,POINT (-91.6781641 41.966733)
1952860,Missouri Valley,July 01 2017,2633,POINT (-95.9027827 41.5573821)
1962355,Perry,July 01 2003,8281,POINT (-94.09406 41.8379964)
1976935,Tabor,July 01 2014,994,POINT (-95.6737118 40.8949387)
1937290,Hospers,July 01 2017,705,POINT (-95.903694 43.0725353)
1907210,Bode,July 01 2015,290,POINT (-94.2862417 42.868027)
1959070,Ollie,July 01 2005,166,POINT (-92.0923057 41.1991478)
1949755,Marshalltown,July 01 1994,25391,POINT (-92.9066945 42.0341021)
1953625,Monticello,July 01 1999,3835,POINT (-91.1836421 42.2303515)
1968070,Rockford,July 01 1994,872,POINT (-92.9477776 43.0524158)
1952275,Millerton,April 01 1990,44,POINT (-93.3057058 40.8493458)
1922890,Dunlap,April 01 2010,1042,POINT (-95.6005625 41.8526254)
1927255,Ferguson,July 01 2011,127,POINT (-92.8630313 41.9385801)
1948045,McIntire,July 01 2002,166,POINT (-92.5936847 43.4359606)
1903385,Atalissa,April 01 2000,283,POINT (-91.1664541 41.5716874)
1922215,Dow City,July 01 2003,505,POINT (-95.4943457 41.9279982)
1930675,Gilbertville,July 01 2016,747,POINT (-92.2141932 42.4189896)
1932520,Gravity,July 01 2001,216,POINT (-94.7435014 40.7601646)
1971040,Scarville,July 01 2012,71,POINT (-93.6165718 43.4709669)
1975405,Stockport,July 01 2008,282,POINT (-91.8333604 40.8572858)
1919765,Deloit,April 01 1990,296,POINT (-95.3174643 42.0971421)
1974280,Spencer,July 01 1997,11317,POINT (-95.1533205 43.1468576)
1946290,Lone Rock,July 01 2016,141,POINT (-94.3254999 43.2208068)
1928605,Fort Madison,July 01 1998,11659,POINT (-91.3519128 40.6198735)
1939630,Jewell Junction,July 01 2009,1138,POINT (-93.6402159 42.3069254)
1978600,Toronto,July 01 1993,136,POINT (-90.8627574 41.9028894)
1950160,Mason City,July 01 1992,29312,POINT (-93.1998074 43.1487201)
1928380,Forest City,July 01 2011,4049,POINT (-93.6364115 43.2569692)
1911530,Castana,July 01 1997,157,POINT (-95.9103984 42.0730934)
1983595,West Branch,July 01 2016,2370,POINT (-91.3406612 41.6627654)
1961815,Paton,July 01 2015,229,POINT (-94.2550567 42.1642219)
1914880,Coburg,July 01 1994,72,POINT (-95.2655524 40.9187888)
1957945,Numa,July 01 2002,109,POINT (-92.9799877 40.6854066)
1972975,Sibley,July 01 2012,2687,POINT (-95.7437957 43.401265)
1950655,Maysville,April 01 1990,170,POINT (-90.718486 41.6495455)
1952500,Milton,July 01 1993,523,POINT (-92.1621496 40.671185)
1930045,Garwin,July 01 2018,496,POINT (-92.6790893 42.0934589)
1908470,Brighton,July 01 1993,692,POINT (-91.8212009 41.1746979)
1903835,Aurora,July 01 2007,183,POINT (-91.7294524 42.6201079)
1926310,Exline,July 01 1997,184,POINT (-92.8431396 40.649046)
1967170,Ringsted,July 01 1995,471,POINT (-94.5067295 43.2949389)
1967350,Riverdale,July 01 2005,606,POINT (-90.4637332 41.5370578)
1950160,Mason City,July 01 2007,27438,POINT (-93.1998074 43.1487201)
1939135,Jackson Junction,April 01 2010,58,POINT (-92.0462156 43.1013241)
1950385,Matlock,July 01 2015,90,POINT (-95.9345034 43.2443282)
1904105,Ayrshire,July 01 2002,193,POINT (-94.8335229 43.0395515)
1984090,Westfield,July 01 1998,174,POINT (-96.6055187 42.7561653)
1924645,Elgin,July 01 1999,663,POINT (-91.6355924 42.9553694)
1982065,Walnut,July 01 2012,780,POINT (-95.2204992 41.4884727)
1933465,Guttenberg,July 01 2007,1915,POINT (-91.1059046 42.7887133)
1958530,Ocheyedan,July 01 2003,515,POINT (-95.5365264 43.4181152)
1916230,Coralville,July 01 2015,20233,POINT (-91.5968051 41.6989902)
1924600,Eldridge,July 01 2016,6278,POINT (-90.5805427 41.6393994)
1956100,New Hampton,July 01 1994,3898,POINT (-92.3163583 43.0571675)
1972075,Sharpsburg,July 01 2017,86,POINT (-94.640482 40.802969)
1935265,Hawarden,July 01 2003,2398,POINT (-96.4831539 43.0018665)
1907210,Bode,July 01 2019,290,POINT (-94.2862417 42.868027)
1936390,Hillsboro,July 01 1996,168,POINT (-91.7125258 40.8373813)
1912900,Charter Oak,July 01 2002,517,POINT (-95.5891719 42.0682534)
1939765,Johnston,July 01 1991,5163,POINT (-93.7172578 41.6856012)
1956505,Newton,July 01 2006,15178,POINT (-93.0404672 41.6965281)
1933285,Guernsey,July 01 2011,63,POINT (-92.3430868 41.6491514)
1914025,Clear Lake,July 01 1993,8680,POINT (-93.3739922 43.1346536)
1914655,Clutier,July 01 2017,206,POINT (-92.4036082 42.0793295)
1979500,Underwood,July 01 1991,521,POINT (-95.6820111 41.3807698)
1979140,Truro,July 01 2017,499,POINT (-93.8466721 41.2097694)
1919135,Dawson,July 01 2015,128,POINT (-94.2203279 41.8430917)
1964470,Prairie City,July 01 2017,1723,POINT (-93.2391586 41.5952729)
1960690,Oxford Junction,July 01 2005,552,POINT (-90.954121 41.9837298)
1913395,Cincinnati,July 01 1998,352,POINT (-92.9222293 40.6309489)
1959475,Orange City,April 01 2010,6004,POINT (-96.0565364 43.0019143)
1985845,Williamsburg,July 01 2001,2695,POINT (-92.0098017 41.6679743)
1904915,Baxter,July 01 2019,1132,POINT (-93.1524552 41.8252003)
1950700,Mechanicsville,July 01 2018,1130,POINT (-91.2532455 41.905572)
1939900,Jolley,July 01 1998,50,POINT (-94.7182601 42.4794481)
1922845,Dunkerton,July 01 1997,718,POINT (-92.161378 42.5673881)
1944805,Lewis,July 01 2012,423,POINT (-95.0842834 41.3064931)
1900235,Ackworth,July 01 2011,104,POINT (-93.4747827 41.3663016)
1982695,Waukee,July 01 1999,5076,POINT (-93.8702236 41.6001509)
1952590,Minden,July 01 2009,542,POINT (-95.5411773 41.4683761)
1986970,Woodward,July 01 1994,1219,POINT (-93.9208014 41.8522961)
1906490,Bevington,April 01 1990,67,POINT (-93.7902373 41.3595466)
1968070,Rockford,July 01 1996,861,POINT (-92.9477776 43.0524158)
1910135,Camanche,July 01 2017,4291,POINT (-90.2766777 41.7927587)
1965010,Protivin,July 01 2014,277,POINT (-92.0891446 43.2164283)
1962985,Pioneer,July 01 2008,19,POINT (-94.3908921 42.6535255)
1981210,Vinton,April 01 2000,5102,POINT (-92.0260813 42.1638951)
1963840,Plover,July 01 2009,63,POINT (-94.6222266 42.876712)
1955110,Muscatine,July 01 2002,22511,POINT (-91.0680884 41.4194742)
1944490,Lenox,July 01 2015,1392,POINT (-94.5583357 40.8830419)
1978330,Titonka,July 01 2019,443,POINT (-94.0413989 43.2371658)
1982425,Waterloo,July 01 1999,62800,POINT (-92.3521758 42.4919737)
1915420,Columbus Junction,July 01 2016,1866,POINT (-91.3650803 41.2787342)
1978060,Tiffin,April 01 2000,975,POINT (-91.658392 41.7067521)
1943140,Lanesboro,July 01 1999,145,POINT (-94.6921692 42.1826597)
1974505,Springbrook,July 01 2002,180,POINT (-90.479117 42.1655919)
1971310,Scranton,July 01 1993,596,POINT (-94.5490547 42.0190882)
1975990,Stuart,April 01 2000,1712,POINT (-94.3186774 41.5002688)
1933240,Gruver,July 01 2005,98,POINT (-94.703558 43.3931285)
1928290,Fontanelle,July 01 2016,609,POINT (-94.5600489 41.2900061)
1942285,Lacona,July 01 1992,354,POINT (-93.3849697 41.1899087)
1953895,Moorland,July 01 2016,161,POINT (-94.2954106 42.4413943)
1956100,New Hampton,July 01 2011,3562,POINT (-92.3163583 43.0571675)
1937425,Hubbard,July 01 1997,784,POINT (-93.3013025 42.3061102)
1939765,Johnston,July 01 2018,22041,POINT (-93.7172578 41.6856012)
1940440,Kellogg,July 01 2017,592,POINT (-92.9070787 41.7180274)
1916725,Cotter,April 01 1990,53,POINT (-91.4658078 41.2939949)
1974505,Springbrook,July 01 2004,183,POINT (-90.479117 42.1655919)
1950070,Marysville,July 01 1997,71,POINT (-92.953643 41.1826504)
1950250,Massena,July 01 2017,341,POINT (-94.7698202 41.2506437)
1917895,Curlew,July 01 2007,58,POINT (-94.7377341 42.9795272)
1911755,Cedar Falls,July 01 1992,34045,POINT (-92.4532603 42.5196928)
1950385,Matlock,July 01 2004,83,POINT (-95.9345034 43.2443282)
1909280,Buffalo Center,April 01 2000,963,POINT (-93.9428112 43.3893894)
1935760,Hepburn,July 01 2008,27,POINT (-95.0166861 40.8476568)
1915105,College Springs,July 01 1991,227,POINT (-95.1211184 40.6212901)
1987240,Wyoming,July 01 2017,517,POINT (-91.0051028 42.0597168)
1975000,Stanton,April 01 2000,714,POINT (-95.1029513 40.9810147)
1950520,Maxwell,July 01 2014,921,POINT (-93.3959877 41.8913844)
1943005,Lamont,July 01 2001,501,POINT (-91.6404271 42.5985649)
1911395,Casey,July 01 2016,401,POINT (-94.5212707 41.5074602)
1966315,Reinbeck,July 01 2007,1649,POINT (-92.5942704 42.3225055)
1919135,Dawson,July 01 1995,172,POINT (-94.2203279 41.8430917)
1963525,Pleasant Hill,July 01 1993,4285,POINT (-93.487681 41.5725717)
1950385,Matlock,April 01 1990,92,POINT (-95.9345034 43.2443282)
1936705,Holland,July 01 2006,259,POINT (-92.7988148 42.3999555)
1928020,Floyd,July 01 2015,324,POINT (-92.7402544 43.1282005)
1984765,West Union,July 01 1991,2555,POINT (-91.8132 42.9588918)
1928020,Floyd,April 01 2010,335,POINT (-92.7402544 43.1282005)
1917895,Curlew,July 01 2015,57,POINT (-94.7377341 42.9795272)
1937290,Hospers,July 01 1995,694,POINT (-95.903694 43.0725353)
1932745,Greene,July 01 2016,1092,POINT (-92.8043393 42.8969089)
1912765,Charles City,July 01 1998,7641,POINT (-92.6745202 43.0643521)
1949575,Marne,July 01 2007,142,POINT (-95.1107615 41.4489055)
1968340,Rodman,July 01 1992,55,POINT (-94.5271834 43.0265898)
1934590,Harpers Ferry,July 01 2017,323,POINT (-91.1520093 43.2009123)
1945795,Little Rock,July 01 2012,459,POINT (-95.880437 43.4454349)
1909820,Calamus,July 01 2002,392,POINT (-90.7600146 41.8264945)
